Metric,Value
timing__setup__tns__corner:min_ff_n40C_1v95,0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.109854
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,39.54406
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,630
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,3
design__max_fanout_violation__count__corner:max_tt_025C_1v80,4
design__max_cap_violation__count__corner:max_tt_025C_1v80,1
clock__skew__worst_hold__corner:max_tt_025C_1v80,-8.847743232940674
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.3607581002706835
timing__hold__ws__corner:max_tt_025C_1v80,0.23678826236658032
timing__setup__ws__corner:max_tt_025C_1v80,11.213783996556533
timing__hold__tns__corner:max_tt_025C_1v80,0
timing__setup__tns__corner:max_tt_025C_1v80,0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.236788
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,32.550171
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,630
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,630
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,4
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-8.648342731186466
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.2872608898726452
timing__hold__ws__corner:max_ff_n40C_1v95,0.11097989508170077
timing__setup__ws__corner:max_ff_n40C_1v95,12.148506544598382
timing__hold__tns__corner:max_ff_n40C_1v95,0
timing__setup__tns__corner:max_ff_n40C_1v95,0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.11098
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,39.182026
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,630
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,630
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:vccd1__corner:max_ss_100C_1v60,1.59985
design_powergrid__drop__average__net:vccd1__corner:max_ss_100C_1v60,1.59998
design_powergrid__drop__worst__net:vccd1__corner:max_ss_100C_1v60,0.000146439
design_powergrid__voltage__worst__net:vssd1__corner:max_ss_100C_1v60,0.000165306
design_powergrid__drop__average__net:vssd1__corner:max_ss_100C_1v60,1.90866e-05
design_powergrid__drop__worst__net:vssd1__corner:max_ss_100C_1v60,0.000165306
design_powergrid__voltage__worst,0.000165306
design_powergrid__voltage__worst__net:vccd1,1.59985
design_powergrid__drop__worst,0.000165306
design_powergrid__drop__worst__net:vccd1,0.000146439
design_powergrid__voltage__worst__net:vssd1,0.000165306
design_powergrid__drop__worst__net:vssd1,0.000165306
ir__voltage__worst,1.6
ir__drop__avg,1.91e-05
ir__drop__worst,0.000146
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
